national_team,official_squad_player_name,date_of_birth,official_club,candidate_transfermarkt_player_id,transfermarkt_name,match_evidence,review_status,reviewer,reviewed_at,notes
Ghana,OPOKU Jerome,,Başakşehir FK (TUR),,,name_only_rejected,pending,,,
Ghana,WILLIAMS Inaki,,Athletic Club (ESP),,,name_only_rejected,pending,,,
Ghana,BOAKYE Augustine,,AS Saint-Etienne (FRA),,,name_only_rejected,pending,,,
Ghana,OPPONG Kojo Peprah,,OGC Nice (FRA),,,name_only_rejected,pending,,,
Ghana,SULEMANA Kamaldeen,,Atalanta Bergamo (ITA),,,name_only_rejected,pending,,,
Ghana,LUCKASSEN Derrick,,Pafos FC (CYP),,,name_only_rejected,pending,,,
Ghana,NUAMAH Ernest,,Olympique Lyonnais (FRA),,,name_only_rejected,pending,,,
Ghana,ADU Prince,,FC Viktoria Plzeň (CZE),,,name_only_rejected,pending,,,
Ghana,SENAYA Marvin,,AJ Auxerre (FRA),,,name_only_rejected,pending,,,
Panama,MEJIA Luis,1991-03-16,Club Nacional (URU),,,name_date_of_birth,pending,,,
Panama,BARCENAS Edgar Yoel,1993-10-23,Mazatlán FC (MEX),,,name_date_of_birth,pending,,,
Panama,SAMUDIO Cesar,1994-02-23,CD Marathón (HON),,,name_date_of_birth,pending,,,
Panama,FAJARDO Jose,1993-08-18,CD Universidad Católica (ECU),,,name_date_of_birth,pending,,,
Panama,WATERMAN Cecilio,1991-04-13,CD Universidad De Concepción (CHI),,,name_date_of_birth,pending,,,
